CustomerID,Name,Email,SignupDate,Country,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Cell,RFM_Score,Cluster,Customer_Segment
C0001,Kabir Verma,kabir.verma45@example.com,2025-05-06,India,34,2,166.4,4,1,2,412,7,1,Loyalists
C0002,Isha White,isha.white21@example.com,2025-10-30,United States,14,5,166.0,5,4,2,542,11,1,Loyalists
C0003,Aditya Singh,aditya.singh37@example.com,2025-04-30,United States,308,1,74.43,1,1,1,111,3,2,Lost Customers
C0004,Aditya Harris,aditya.harris35@example.com,2026-01-02,United States,13,10,3146.1,5,5,5,555,15,3,Champions
C0005,Anil Mukherjee,anil.mukherjee38@example.com,2025-08-18,United States,55,1,26.29,3,1,1,311,5,2,Lost Customers
C0006,Aarav Smith,aarav.smith99@example.com,2025-08-05,India,274,2,122.35999999999999,1,1,2,112,4,2,Lost Customers
C0007,Neha Brown,neha.brown53@example.com,2025-02-22,India,186,6,1118.26,1,4,5,145,10,0,At Risk Customers
C0008,Isha Roy,isha.roy54@example.com,2025-11-06,India,13,2,177.74,5,1,2,512,8,1,Loyalists
C0009,Amit Mishra,amit.mishra78@example.com,2025-03-05,Singapore,135,7,1177.99,2,5,5,255,12,0,At Risk Customers
C0010,William Singh,william.singh80@example.com,2025-05-31,Germany,22,6,858.0799999999999,4,4,4,444,12,3,Champions
C0011,Kiran Bose,kiran.bose83@example.com,2025-04-09,United Kingdom,21,5,775.21,4,4,4,444,12,1,Loyalists
C0012,Amit Jones,amit.jones47@example.com,2025-02-10,France,11,4,169.17000000000002,5,3,2,532,10,1,Loyalists
C0013,Isha Das,isha.das45@example.com,2025-08-21,United States,226,1,19.91,1,1,1,111,3,2,Lost Customers
C0014,Karen Smith,karen.smith57@example.com,2025-07-01,India,379,3,114.74,1,2,2,122,5,2,Lost Customers
C0015,Michael Patel,michael.patel87@example.com,2025-11-22,India,32,5,369.9,4,4,4,444,12,1,Loyalists
C0016,James Smith,james.smith69@example.com,2025-07-14,India,44,5,321.18,3,4,4,344,11,0,At Risk Customers
C0017,Suresh Jones,suresh.jones97@example.com,2025-06-16,France,37,6,777.04,4,4,4,444,12,3,Champions
C0018,Ananya Jones,ananya.jones14@example.com,2026-02-17,India,2,5,366.32000000000005,5,4,4,544,13,1,Loyalists
C0019,Michael Patel,michael.patel37@example.com,2025-10-18,France,1,2,126.17999999999999,5,1,2,512,8,1,Loyalists
C0020,John Brown,john.brown93@example.com,2025-09-13,India,142,2,167.65,2,1,2,212,5,2,Lost Customers
C0021,Ashley Reddy,ashley.reddy43@example.com,2025-03-13,India,80,4,355.21000000000004,3,3,4,334,10,0,At Risk Customers
C0022,Suresh White,suresh.white43@example.com,2026-01-18,United States,142,2,196.91,2,1,2,212,5,0,At Risk Customers
C0023,Deepak Choudhury,deepak.choudhury56@example.com,2025-04-23,Singapore,128,8,1378.87,2,5,5,255,12,3,Champions
C0024,Meera Thomas,meera.thomas73@example.com,2025-02-16,Germany,11,7,1252.3899999999999,5,5,5,555,15,3,Champions
C0025,Kabir Reddy,kabir.reddy90@example.com,2025-03-23,Germany,196,2,125.82,1,1,2,112,4,2,Lost Customers
C0026,Sandra Young,sandra.young18@example.com,2025-07-17,India,111,4,587.8000000000001,2,3,4,234,9,0,At Risk Customers
C0027,Ashley Jackson,ashley.jackson42@example.com,2025-10-11,France,164,2,133.57,2,1,2,212,5,2,Lost Customers
C0028,Aarav Rao,aarav.rao97@example.com,2025-10-02,Germany,193,1,19.28,1,1,1,111,3,2,Lost Customers
C0029,Jessica Rao,jessica.rao47@example.com,2025-08-11,India,104,6,1198.0900000000001,2,4,5,245,11,0,At Risk Customers
C0030,Aarav Miller,aarav.miller74@example.com,2026-01-26,India,26,9,1225.8600000000001,4,5,5,455,14,3,Champions
C0031,Isha Martinez,isha.martinez91@example.com,2025-09-17,United States,207,1,55.8,1,1,1,111,3,2,Lost Customers
C0032,Neha Bose,neha.bose30@example.com,2025-10-04,Australia,19,3,169.57999999999998,5,2,2,522,9,1,Loyalists
C0033,Vijay Sharma,vijay.sharma86@example.com,2025-06-15,United States,105,5,215.14,2,4,3,243,9,0,At Risk Customers
C0034,Kabir Bose,kabir.bose49@example.com,2025-05-03,India,16,1,17.76,5,1,1,511,7,2,Lost Customers
C0035,Gita Singh,gita.singh20@example.com,2026-01-10,United States,23,5,395.34999999999997,4,4,4,444,12,1,Loyalists
C0036,Arjun White,arjun.white26@example.com,2025-03-07,United Kingdom,129,1,22.49,2,1,1,211,4,2,Lost Customers
C0037,Suresh Smith,suresh.smith43@example.com,2025-09-28,France,127,5,341.38,2,4,4,244,10,0,At Risk Customers
C0038,Sandra Brown,sandra.brown79@example.com,2026-01-22,United Kingdom,79,1,59.53,3,1,1,311,5,2,Lost Customers
C0039,Siddharth Martinez,siddharth.martinez61@example.com,2025-12-10,United States,37,1,60.94,4,1,1,411,6,2,Lost Customers
C0040,Richard Jackson,richard.jackson67@example.com,2025-03-03,India,65,4,698.55,3,3,4,334,10,0,At Risk Customers
C0041,Arjun Sen,arjun.sen12@example.com,2025-10-29,United States,12,3,182.17000000000002,5,2,2,522,9,1,Loyalists
C0042,Deepak Jones,deepak.jones10@example.com,2025-02-06,United Kingdom,49,3,139.0,3,2,2,322,7,0,At Risk Customers
C0043,Ananya Jones,ananya.jones18@example.com,2025-01-17,France,537,2,114.47999999999999,1,1,2,112,4,2,Lost Customers
C0044,Arjun Thomas,arjun.thomas40@example.com,2025-05-23,United Kingdom,131,9,1420.11,2,5,5,255,12,3,Champions
C0045,Tanvi White,tanvi.white26@example.com,2026-01-06,Australia,75,3,236.74,3,2,3,323,8,0,At Risk Customers
C0046,Gita Martin,gita.martin70@example.com,2025-05-05,Germany,59,8,1403.92,3,5,5,355,13,3,Champions
C0047,Thomas Williams,thomas.williams22@example.com,2025-02-19,United Kingdom,239,2,86.53999999999999,1,1,1,111,3,2,Lost Customers
C0048,Robert Banerjee,robert.banerjee62@example.com,2025-08-28,France,20,4,287.09000000000003,4,3,3,433,10,1,Loyalists
C0049,Ananya Joshi,ananya.joshi17@example.com,2025-07-26,United Kingdom,2,4,170.95000000000002,5,3,2,532,10,1,Loyalists
C0050,Isha Garcia,isha.garcia34@example.com,2025-04-08,United States,285,4,266.58,1,3,3,133,7,0,At Risk Customers
C0051,Meera Banerjee,meera.banerjee33@example.com,2025-05-23,United States,128,7,973.31,2,5,5,255,12,0,At Risk Customers
C0052,Arjun Chatterjee,arjun.chatterjee80@example.com,2025-02-20,India,108,3,233.95,2,2,3,223,7,0,At Risk Customers
C0053,Anil Sharma,anil.sharma21@example.com,2026-01-21,France,63,1,25.57,3,1,1,311,5,2,Lost Customers
C0054,Pranav Mukherjee,pranav.mukherjee72@example.com,2025-09-04,India,92,2,141.38,2,1,2,212,5,2,Lost Customers
C0055,Lisa Mehta,lisa.mehta31@example.com,2025-07-14,India,6,20,6748.24,5,5,5,555,15,3,Champions
C0056,William Miller,william.miller68@example.com,2025-05-27,United States,210,2,173.07999999999998,1,1,2,112,4,2,Lost Customers
C0057,Suresh Anderson,suresh.anderson29@example.com,2025-04-08,India,3,7,877.04,5,5,4,554,14,3,Champions
C0058,Ananya Thompson,ananya.thompson79@example.com,2025-02-01,United Kingdom,151,16,4834.34,2,5,5,255,12,3,Champions
C0059,Ananya Mehta,ananya.mehta84@example.com,2025-09-02,United States,107,2,160.82999999999998,2,1,2,212,5,0,At Risk Customers
C0060,Vijay Smith,vijay.smith17@example.com,2025-09-18,India,108,1,35.02,2,1,1,211,4,2,Lost Customers
C0061,Rohan Patel,rohan.patel86@example.com,2025-02-04,United Kingdom,23,3,233.63,4,2,3,423,9,1,Loyalists
C0062,James Choudhury,james.choudhury25@example.com,2025-10-19,India,44,1,76.04,3,1,1,311,5,2,Lost Customers
C0063,Sanjay Gupta,sanjay.gupta89@example.com,2025-02-11,United States,121,5,344.22,2,4,4,244,10,0,At Risk Customers
C0064,Deepak Martin,deepak.martin76@example.com,2025-06-11,Australia,9,8,1354.1399999999999,5,5,5,555,15,3,Champions
C0065,Tanvi Kumar,tanvi.kumar40@example.com,2025-05-16,India,327,1,31.01,1,1,1,111,3,2,Lost Customers
C0066,David Mishra,david.mishra50@example.com,2026-01-20,Australia,17,4,246.57,5,3,3,533,11,1,Loyalists
C0067,Aarav Mishra,aarav.mishra89@example.com,2025-10-16,Singapore,117,1,45.88,2,1,1,211,4,2,Lost Customers
C0068,Arjun White,arjun.white37@example.com,2025-09-17,India,123,4,290.49,2,3,3,233,8,0,At Risk Customers
